id,interest,program_id
1,realistic,8
2,realistic,9
5,realistic,16
6,realistic,12
7,investigative,5
9,investigative,8
10,investigative,9
11,investigative,13
12,artistic,15
13,artistic,16
14,realistic,5
15,conventional,5
16,investigative,6
17,social,6
18,social,7
19,investigative,10
20,conventional,10
21,conventional,11
22,enterprising,11
23,enterprising,12
24,conventional,12
25,social,13
26,conventional,14
27,social,14
28,social,15
29,conventional,15
30,realistic,17
31,artistic,17
