id,name,educationlevel_id
1,Grade 1,1
2,Grade 2,1
3,Grade 3,1
4,Grade 4,1
5,Grade 5,1
6,Grade 6,1
7,Grade 7,2
8,Grade 8,2
9,Grade 9,2
10,Grade 10,2
11,Grade 11,3
12,Grade 12,3
13,1st Year,4
14,2nd Year,4
15,3rd Year,4
16,4th Year,4
